Time,Vel_X,Vel_Y,Vel_Z,Total
27.513000,-0.007493,0.013241,-0.095462,0.096667
27.724000,0.010167,0.095132,-0.013818,0.096667
27.949000,-0.024329,0.003993,-0.093470,0.096667
28.165000,-0.036873,0.009339,-0.088868,0.096667
28.379000,-0.029234,0.045930,-0.079877,0.096667
28.591000,-0.003856,0.056772,-0.078144,0.096667
28.807000,-0.024671,0.012637,-0.092607,0.096667
29.028000,-0.037819,0.025556,-0.085212,0.096667
29.246000,0.003015,0.064976,0.034609,0.073680
29.467000,0.013435,0.042152,0.078681,0.090266
29.684000,-0.036995,0.037112,0.071051,0.088284
29.901000,-0.025003,0.059980,0.039973,0.076292
30.123000,0.037910,0.076363,0.045563,0.096667
30.329000,0.037718,0.078282,0.042353,0.096667
30.545000,0.037068,0.080255,0.039110,0.096667
30.762000,-0.088520,0.012451,0.036792,0.096667
30.981000,-0.083467,0.034713,-0.034245,0.096667
31.205000,-0.028037,0.063615,-0.000615,0.069522
31.413000,-0.008108,0.019438,-0.094344,0.096667
31.628000,-0.009325,-0.000104,-0.096216,0.096667
31.849000,-0.009666,0.003361,-0.096123,0.096667
32.068000,-0.091931,0.028794,-0.008004,0.096667
32.284000,-0.028466,-0.003051,0.092330,0.096667
32.511000,-0.040421,-0.006083,0.087599,0.096667
32.722000,-0.027320,-0.006910,0.092468,0.096667
32.934000,0.010919,0.005122,0.095911,0.096667
33.146000,0.027014,-0.008928,0.092385,0.096667
33.368000,0.039889,0.001699,0.088037,0.096667
33.574000,0.051397,-0.001334,0.081860,0.096667
33.790000,0.090904,-0.014682,0.029417,0.096667
34.015000,0.039162,-0.010906,-0.087703,0.096667
34.229000,-0.075258,0.035195,-0.049416,0.096667
34.445000,-0.031050,0.039648,-0.082513,0.096667
34.664000,0.003261,0.015977,-0.095281,0.096667
34.880000,-0.002357,0.023086,-0.093840,0.096667
35.102000,-0.000040,0.047355,-0.084273,0.096667
35.319000,0.008667,0.082724,-0.049255,0.096667
35.531000,0.011445,0.088717,0.036643,0.096667
35.748000,-0.005378,0.029007,0.092055,0.096667
35.967000,-0.013504,0.040482,0.086737,0.096667
36.183000,0.002537,0.004813,0.096513,0.096667
36.397000,0.002205,0.009466,0.096177,0.096667
36.615000,-0.011785,0.045818,0.084299,0.096667
36.832000,-0.011050,0.049612,0.082225,0.096667
37.047000,-0.012653,0.060296,0.074490,0.096667
37.270000,-0.016450,0.086388,0.040137,0.096667
37.485000,-0.017427,0.094872,-0.006332,0.096667
37.704000,-0.004578,0.065733,-0.070729,0.096667
37.921000,-0.004523,0.053812,-0.080177,0.096667
38.132000,0.001985,0.039915,-0.088019,0.096667
38.350000,0.004267,0.029492,-0.091959,0.096667
38.565000,0.009582,0.018457,-0.094403,0.096667
38.782000,0.006412,0.013800,-0.095461,0.096667
39.000000,0.004005,0.014496,-0.095490,0.096667
39.221000,0.002816,0.028388,-0.092361,0.096667
39.434000,0.007140,0.079032,-0.055203,0.096667
39.645000,0.022431,0.088132,0.032772,0.096667
39.862000,0.019494,0.073727,0.059403,0.096667
40.081000,0.013901,0.060906,0.073768,0.096667
40.295000,0.013663,0.055518,0.077945,0.096667
40.517000,0.004065,0.043417,0.086272,0.096667
40.729000,-0.002076,0.001250,0.096636,0.096667
40.948000,-0.021789,0.031447,0.088774,0.096667
41.165000,-0.011138,0.035250,0.089319,0.096667
41.383000,-0.057044,0.057152,0.053142,0.096667
41.600000,0.040331,0.016330,-0.086320,0.096667
41.818000,0.000213,0.004296,-0.096571,0.096667
42.034000,-0.004970,0.003311,-0.096482,0.096667
42.255000,-0.006718,0.002851,-0.096391,0.096667
42.464000,-0.016305,0.010361,-0.094717,0.096667
